Nom,Prix,Description,Isbn,Photo,Editeur,Categorie
Mademoiselle Déjazet,14.05,"Treizième enfant d’une famille modeste, Virginie Déjazet débute sur les planches à l’âge de cinq ans. Le succès semble rapidement lui sourire, mais la presse et les rivalités sont redoutables sur le célèbre Boulevard du Crime…
Femme de tête et femme de cœur, elle se forge une devise ""Bien faire et laisser dire"". Mais la course à l’amour fou et au succès n’est pas sans écueils. Comment rester soi-même dans un milieu où la concurrence est rude et se joue dans le lit des directeurs de théâtre ?
Le rideau n’attend plus que vous pour se lever sur l’histoire vraie de Virginie Déjazet, la petite comédienne qui côtoya Rachel, Sarah Bernhardt et toute l’élite intellectuelle de son temps, avant d’être balayée par les soubresauts d’un siècle tourmenté.",978-2957252107,https://m.media-amazon.com/images/I/716FfftHrGL._SY522_.jpg,,Biographies
Respire Encore: Le souffle de la résilience,10.42,,979-1041562213,https://m.media-amazon.com/images/I/71G7ivVoCXL._SY522_.jpg,Autoédité (23 janvier 2025),Biographies
Quand arrivent les chevaux,12.44,"« Mon p’tit rat, J’espère que toutes mes histoires ne te perturbent pas trop et que tu commences à sentir le passage de mon âme vers la tienne. Je m’y suis préparée. Je sais que, pour toi, c’est un choc, mais il faut calmer le jeu, c’est pas la fin du monde, bien au contraire. C’est un grand rendez-vous que nous avons, toi et moi, mon rat. Je dois tout mettre en ordre de mon côté, j’y suis presque. Mais toi, tu as des choses à faire, si tu veux bien me faire confiance. »",978-2213701516,https://m.media-amazon.com/images/I/71h73D5HANL._SY522_.jpg,Fayard (15 janvier 2025),Biographies
Plus rien ne pourra me blesser: Maîtrisez votre esprit et défiez le destin,18.45,"Pour David Goggins, l&#39enfance a été un cauchemar - pauvreté, préjugés raciaux et violences familiales ont ponctué ses jours et hanté ses nuits. Jeune homme dépressif, en surpoids et sans aucun avenir à l&#39horizon, incapable de courir sur plus de 500 mètres, il va pourtant choisir de prendre son destin en main. Grâce à une force de caractère hors du commun, une discipline extrême et un travail acharné, il va se métamorphoser en une icône des forces armées américaines.
Seul homme de l&#39histoire à avoir été breveté Navy SEAL, Ranger de l&#39armée de terre et contrôleur aérien tactique., il a par la suite établi de nombreux records d&#39endurance dans le domaine des ultra-marathons, au point d&#39être proclamé ""l&#39homme le plus en forme des Etats-Unis"" par Outside Magazine.
En partageant son histoire, David Goggins partage également les échecs et les difficultés qui ont émaillé sa vie mais, surtout, il confie aux lecteurs les clés de sa résilience et les recettes qui lui ont permis d&#39affronter l&#39adversité pour s&#39épanouir malgré la souffrance et atteindre ce plein potentiel qui se trouve à la portée de chacun d&#39entre nous.
Un livre bouleversant et stupéfiant qui a changé la vie de dizaines de milliers de lecteurs.",978-2377530670,https://m.media-amazon.com/images/I/81wEK7MtAyL._SY522_.jpg,NIMROD (28 septembre 2023),Biographies
Le Journal d&#39Anne Frank (Nouvelle édition),15.12,,978-2253937432,https://m.media-amazon.com/images/I/71DKiNxs0dL._SY522_.jpg,Le Livre de Poche; 1er édition (25 mai 2022),Biographies
"(Im)possible: Entre ombre et lumière, le combat d&#39une athlète hors du commun",6.59,Le parcours de résilience d’une personnalité hors du commun,979-1033914976,https://m.media-amazon.com/images/I/81OCa8Q+lvL._SY522_.jpg,HarperCollins (25 septembre 2024),Biographies
"Solo e&#39 il coraggio.Giovanni Falcone, il romanzo",5.32,"Un’esplosione squarcia la quiete della campagna corleonese. Il giovanissimo Totò Riina assiste allo sterminio dei suoi familiari intenti a disinnescare una bomba degli Alleati per ricavarne esplosivo. È un boato che distrugge e che genera. La piaga che molti, con timidi bisbigli, chiamano mafia, ma che d’ora in poi si rivelerà a tutti come Cosa nostra, s’incarna da qui in avanti nella sua forma più diabolica. Ma con potenza uguale e contraria, per fronteggiare l’onda di quella deflagrazione scaturisce anche il suo antidoto più puro. È il coraggio, quello che sorregge l’ingegno e l’intraprendenza, che sopperisce ai mezzi spesso insufficienti: il coraggio che scorre in Giovanni Falcone, negli uomini e nelle donne che insieme a lui sono pronti a lanciarsi in una battaglia furiosa dove la vita vale il prezzo di una pallottola. La storia di un magistrato che insieme a pochi altri intuisce la complessità di un’organizzazione criminale pervasiva, ne segue le piste finanziarie, ne penetra la psicologia e ne scardina la proverbiale omertà, è narrata in queste pagine con l’essenzialità di un dramma antico: sul proscenio, un uomo determinato a ottenere giustizia, assediato dai presagi più cupi, circondato dal coro dei colleghi che prima di lui sono caduti sotto il fuoco mafioso; stretto, nelle notti più buie, dall’abbraccio di una donna che ha scelto di seguirlo fino a dove il fato si compirà. Roberto Saviano ha voluto onorare la memoria del giudice palermitano strappandolo alla fissità dell’icona e ripercorrendone i passi, senza limitarsi a una ricostruzione fondata su uno studio attentissimo delle fonti, degli atti dei processi, delle testimonianze, ma spingendo la narrazione fino a quello “spazio intimo dove le scelte cruciali maturano prima di accadere”. Questo romanzo ci racconta una pagina fatidica della nostra storia, illumina la vita di un uomo che, nel pieno della carriera, fu in realtà al culmine del suo isolamento. E leva il canto altissimo della sua solitudine e del suo coraggio.",978-8830101685,https://m.media-amazon.com/images/I/71xSYKqj22L._SY522_.jpg,Bompiani (23 avril 2022),Biographies
J&#39écris l&#39Iliade,13.96,"Ce récit est souvent érotique. Quand il résiste à l&#39appel du désir, il écoute les voix des bêtes, des arbres, des pierres, de ceux qu&#39on a appelés les dieux - les voix de la guerre, aussi. L&#39amour et la guerre sont père et mère de tout récit, depuis le premier, qui est le Chant d&#39Homère. J&#39ai essayé d&#39entrevoir Homère dans ses antiques temps et lieux, mais aussi ici et maintenant. Le Chanteur inlassable hésite entre son époque et la nôtre, sans regret ni nostalgie, ni illusions. Avec étonnement peut-être. Il est aveugle, n&#39est-ce pas. Nous voit-il ? Homère est le héros de ce livre. P. M.",978-2070128075,https://m.media-amazon.com/images/I/71YWM0opcML._SY522_.jpg,GALLIMARD (6 février 2025),Biographies
"Dans mon regard, ton mépris: Une histoire vraie bouleversante",18.23,"L’homme dont vous allez lire le récit est tout l’inverse de ce que vous pourriez penser de lui. D’extérieur, il vit. À l’intérieur, c’est une tout autre histoire.
Derrière sa jovialité et son rire communicatif, il dissimule les traces indélébiles d’une jeunesse meurtrie par des propos humiliants et une éducation punitive poussée à l’extrême. Des traces qui font de lui ce qu’il est devenu.",979-8311214452,https://m.media-amazon.com/images/I/61nMcN6VvIL._SY522_.jpg,Independently published (20 février 2025),Biographies
Passion simple - Prix Nobel de Littérature 2022,15.39,"""À partir du mois de septembre l&#39année dernière, je n&#39ai plus rien fait d&#39autre qu&#39attendre un homme : qu&#39il me téléphone et qu&#39il vienne chez moi."" Annie Ernaux.",978-2930000015,https://m.media-amazon.com/images/I/7187tnYfsoL._SY522_.jpg,FOLIO; First Thus édition (4 janvier 1994),Biographies
Un enfant sans ombre,19.42,"Shaul Harel, alias Charlie Hilsberg, a perdu son ombre à l’âge de cinq ans, à la fin de 1942, lorsqu&#39il est séparé de sa famille, de son entourage et de sa langue maternelle.",979-8547546846,https://m.media-amazon.com/images/I/71Z1h-GFbWL._SY522_.jpg,Independently published (1 août 2021),Biographies
Bile Noire,11.59,,979-8308522164,https://m.media-amazon.com/images/I/71eLlYkfyVL._SY522_.jpg,Independently published (28 février 2025),Biographies
No Longer Human,17.25,The poignant and fascinating story of a young man who is caught between the breakup of the traditions of a northern Japanese aristocratic family and the impact of Western ideas.,978-0811204811,https://m.media-amazon.com/images/I/41alKvN9GwL._SY522_.jpg,New Directions Publishing Corporation; 1er édition (1 février 1973),Biographies
