Nom,Prix,Description,Isbn,Photo,Editeur,Categorie
Le Journal d&#39Anne Frank (Nouvelle édition),7.85,,978-2253937432,https://m.media-amazon.com/images/I/71DKiNxs0dL._SY522_.jpg,Le Livre de Poche; 1er édition (25 mai 2022),Correspondances et memoires
Les irresponsables: Qui a porté Hitler au pouvoir ?,18.73,"Un consortium libéral-autoritaire, tissé de solidarités d&#39affaires, de partis conservateurs, nationalistes et libéraux, de médias réactionnaires et d&#39élites traditionnelles, perd tout soutien populaire : au fil des élections, il passe de presque 50% à moins de 10% des voix et se demande comment garder le pouvoir sans majorité, sans parlement, voire sans démocratie. Cet extrême centre se pense destiné à gouverner par nature : sa politique est la meilleure et portera bientôt ses fruits. Quand les forces de répression avertissent qu&#39elles ne pourront faire face à un soulèvement généralisé, le pouvoir, qui ne repose sur aucune base électorale, décide de faire alliance avec l&#39extrême droite, avec laquelle il partage, au fond, à peu près tout, et de l&#39installer au sommet. Cette histoire se déroule en Allemagne, entre mars 1930 et janvier 1933. Elle repose sur une lecture des archives politiques, des journaux intimes, correspondances, discours, articles de presse et Mémoires des acteurs et témoins majeurs. Elle révèle non pas la progression irrésistible de la marée brune, mais une stratégie pour capter son énergie au profit d&#39un libéralisme autoritaire imbu de lui-même, dilettante et, in fine, parfaitement irresponsable.",978-2073061195,https://m.media-amazon.com/images/I/71c8yk7f2yL._SY522_.jpg,GALLIMARD (6 février 2025),Correspondances et memoires
Résister,13.06,"L’extrême droite est aux portes du pouvoir. Dans les urnes comme dans les esprits, ses thèmes, son narratif et son vocabulaire s’imposent. Il est encore temps d’inverser cette tendance, à condition de comprendre les rouages de cette progression et de réagir rapidement.",978-2228937597,https://m.media-amazon.com/images/I/31JtrAY2YtL._SY522_.jpg,Payot (16 octobre 2024),Correspondances et memoires
Énorme,16.87,"Mon histoire est simple, claire comme de l’eau de roche.

À partir de 2013, j’ai pris 58 kilos. Vous avez bien lu. En quelques mois je suis devenue énorme. 126 kilos, ça pèse.

Le 1er mars 2023, j’ai décidé de tout perdre parce que je n’avais pas envie de mourir. Et pour ça, je me suis sevrée du sucre. Je voulais avoir une vie que j’aime, danser, courir, m’habiller... Mais avant tout, je voulais être de nouveau heureuse.

L’obésité est une île : j’y ai vécu décentrée du monde, mais surtout de moi-même. Pour moi, la quitter c’était me retrouver, et rejoindre le continent des gens qui vont bien.

J’y suis presque, je le touche, pourtant j’ai peur : qu’est-ce que je vais y trouver ? Qu’est-ce que je laisse derrière moi ?

Ce livre est le récit d’un exil, et d’un retour.",978-2036070097,https://m.media-amazon.com/images/I/71QgewFEB2L._SY522_.jpg,Larousse (8 janvier 2025),Correspondances et memoires
"Le Splendid par le Splendid, nous nous sommes tant marrés ! - 50e anniversaire de la troupe culte",17.98,"La saga du Splendid racontée par les artistes eux-mêmes, cinquante ans après la naissance de la troupe.",978-2749180915,https://m.media-amazon.com/images/I/61VU-A9mmYL._SY466_.jpg,Cherche Midi; Illustrated édition (21 novembre 2024),Correspondances et memoires
Une nuit au cap de la chèvre,5.6,,978-2226500281,https://m.media-amazon.com/images/I/71wJUgZfAnL._SY522_.jpg,Albin Michel (26 février 2025),Correspondances et memoires
Petites leçons sur la guerre: Comment défendre la paix sans avoir peur de se battre,12.63,"La guerre n&#39a pas disparu. Elle s&#39est même réinventée dans nos sociétés qui croyaient en être libérées alors même que 2024 a enregistré le plus grand nombre de conflits depuis 1945. Le Proche-Orient s&#39est embrasé et la guerre est aux portes de l&#39Europe sans oublier les multiples cyberattaques. Pourtant, en cas d&#39offensive, serions-nous capables de nous défendre, ignorants de toute culture militaire, paralysés par la peur ou le déni ? Dans cet ouvrage, simple et accessible, Guillaume Ancel propose d&#39affronter cette question à l&#39heure où le projet de création d&#39une Garde européenne prend forme. En 13 courtes leçons, le lecteur se dotera d&#39un savoir militaire de base - Qui d&#39entre nous irait se battre ? Qu&#39est-ce que l&#39Otan ? Quelle armée avons-nous ? - et il échappera aux fake news et autres intox, pour défendre la paix... sans avoir peur de se battre.",978-2080477965,https://m.media-amazon.com/images/I/61EQ6MY8BsL._SY445_SX342_.jpg,AUTREMENT (5 mars 2025),Correspondances et memoires
Si c&#39est un homme,11.86,,978-2266022507,https://m.media-amazon.com/images/I/51Rz5bs55VL._SY445_SX342_.jpg,Pocket (1 janvier 1988),Correspondances et memoires
Après Dieu,7.34,"Une nuit. Le Panthéon pour enceinte d’un dialogue entre Richard Malka, incroyant bien décidé à rire encore de Dieu, en guerre contre le « respect » nouvellement dû aux religions, et Voltaire, le plus irrévérencieux philosophe des Lumières, défenseur de Calas et du Chevalier de la Barre. Sont-ils d’accord sur tout ? Pas tout à fait. Disciple de Robert Badinter et Georges Kiejman, l’avocat évoque les attentats, les morts, son histoire familiale, sa répulsion envers le prosélytisme et les enfermements communautaires. Surtout, il pose à Voltaire la question qui l’a mené au Panthéon. Par quoi remplacer Dieu ?",978-2234097230,https://m.media-amazon.com/images/I/91RiFlV6iSL._SY522_.jpg,Stock (8 janvier 2025),Correspondances et memoires
Let&#39s speak english !: Une méthode fun et efficace pour progresser en anglais,7.35,"Tu veux améliorer ton anglais, tu cherches constamment tes mots, tu te mélanges les pinceaux entre les différents temps, tu manques d’expressions faciles à utiliser dans la vie de tous les jours… Alors ce livre est fait pour toi !

Avec son humour so british, Monsieur Prof va t’aider à rafraîchir tes connaissances en anglais sans te prendre la tête.",978-2036055575,https://m.media-amazon.com/images/I/51lI6FLmAAL._SX342_SY445_.jpg,Larousse; Illustrated édition (28 août 2024),Correspondances et memoires
