Nom,Prix,Description,Isbn,Photo,Editeur,Categorie
Recueil de poèmes,9.25,"« T&#39éblouissent les apparitions qui sont non pour les yeux, ni pour l&#39intelligence, mais pour le coeur et l&#39esprit. Antoine de Saint-Exupéry, CITADELLE, Gallimard Folio, 1948 Sur le pont invisible des choses et des êtres, Elle se nourrit d&#39une littérature imaginaire écrite derrière les visages, les apparences, Elle regarde par-delà l&#39éphémère, L&#39infini transparence. Sur le pont invisible transcendant les horizons, Elle pose sa mémoire entre deux temps effleurant la délicate fragilité de l&#39instant, Jusqu&#39au bout du chemin qu&#39elle imagine à l&#39horizon. Sur le pont invisible qui relie les attentes, les espérances, Elle tisse les liens subtils l&#39unissant au silence. » Passionnée par les lettres et les langues, Emmanuelle Le Baler a étudié à l&#39université de Corse avant de devenir gérante d&#39une librairie, enrichissant son amour pour les mots. Poétesse dès son jeune âge, elle aspire à capturer l&#39essence de la vie dans ses vers, cherchant à éveiller les consciences par la beauté et l&#39harmonie de sa poésie.",979-1020374653,https://m.media-amazon.com/images/I/71XN5S2lJkL._SY522_.jpg,Baudelaire (8 octobre 2024),Poesie
Recueil de poèmes,10.91,"« T&#39éblouissent les apparitions qui sont non pour les yeux, ni pour l&#39intelligence, mais pour le coeur et l&#39esprit. Antoine de Saint-Exupéry, CITADELLE, Gallimard Folio, 1948 Sur le pont invisible des choses et des êtres, Elle se nourrit d&#39une littérature imaginaire écrite derrière les visages, les apparences, Elle regarde par-delà l&#39éphémère, L&#39infini transparence. Sur le pont invisible transcendant les horizons, Elle pose sa mémoire entre deux temps effleurant la délicate fragilité de l&#39instant, Jusqu&#39au bout du chemin qu&#39elle imagine à l&#39horizon. Sur le pont invisible qui relie les attentes, les espérances, Elle tisse les liens subtils l&#39unissant au silence. » Passionnée par les lettres et les langues, Emmanuelle Le Baler a étudié à l&#39université de Corse avant de devenir gérante d&#39une librairie, enrichissant son amour pour les mots. Poétesse dès son jeune âge, elle aspire à capturer l&#39essence de la vie dans ses vers, cherchant à éveiller les consciences par la beauté et l&#39harmonie de sa poésie.",979-1020374653,https://m.media-amazon.com/images/I/71XN5S2lJkL._SY522_.jpg,Baudelaire (8 octobre 2024),Poesie
Les adorables étrangetés,17.92,,978-2492925771,https://m.media-amazon.com/images/I/61rmnJUKTSL._SY522_.jpg,La Maison des Audacieux (24 mai 2024),Poesie
"Mes forêts: Suivi de Le paysage, l&#39intime, la poésie",13.59,"Hélène Dorion, première Québécoise vivante au programme du Baccalauréat, vit environnée de lacs et de forêts, de fleuves et de rivages, de brumes de mémoire et de vastes estuaires où la pensée s’évase. À travers cette expérience immersive dans la forêt des mots, elle nous invite à traverser les paysages pour aller vers « ce que l’on nomme humanité ».

En supplément, un dossier consacré à la poésie, la nature et l’intime, pour élargir les horizons du lecteur et lui donner envie de poursuivre le voyage.",978-2362294396,https://m.media-amazon.com/images/I/51Tk3NjQZ5L._SY522_.jpg,Editions Bruno Doucey (3 mars 2023),Poesie
La Vérité sur l&#39Affaire Harry Quebert,14.86,Qui a tué Nola Kellergan?,978-2889730087,https://m.media-amazon.com/images/I/71wS24rY6dL._SY522_.jpg,Rosie & Wolfe (10 mars 2022),Poesie
Journal d&#39une indépendante affective,11.05,“,979-8415859238,https://m.media-amazon.com/images/I/51ATZxpFO9L._SY522_.jpg,Independently published (11 février 2022),Poesie
Recueil de poèmes,14.99,"« T&#39éblouissent les apparitions qui sont non pour les yeux, ni pour l&#39intelligence, mais pour le coeur et l&#39esprit. Antoine de Saint-Exupéry, CITADELLE, Gallimard Folio, 1948 Sur le pont invisible des choses et des êtres, Elle se nourrit d&#39une littérature imaginaire écrite derrière les visages, les apparences, Elle regarde par-delà l&#39éphémère, L&#39infini transparence. Sur le pont invisible transcendant les horizons, Elle pose sa mémoire entre deux temps effleurant la délicate fragilité de l&#39instant, Jusqu&#39au bout du chemin qu&#39elle imagine à l&#39horizon. Sur le pont invisible qui relie les attentes, les espérances, Elle tisse les liens subtils l&#39unissant au silence. » Passionnée par les lettres et les langues, Emmanuelle Le Baler a étudié à l&#39université de Corse avant de devenir gérante d&#39une librairie, enrichissant son amour pour les mots. Poétesse dès son jeune âge, elle aspire à capturer l&#39essence de la vie dans ses vers, cherchant à éveiller les consciences par la beauté et l&#39harmonie de sa poésie.",979-1020374653,https://m.media-amazon.com/images/I/71XN5S2lJkL._SY522_.jpg,Baudelaire (8 octobre 2024),Poesie
La théorie des cordes: Poèmes funambules,14.77,"D&#39après la théorie des cordes, notre monde serait composé de minuscules dimensions vibrant les unes avec les autres. Dans son univers poétique, Pierre Faury l&#39a traduite ainsi : écrire, c&#39est chercher à faire résonner les mots pour y puiser le courage d&#39être soi. Sa théorie des cordes capte ce moment où l&#39on vacille entre l&#39adolescence et l&#39âge adulte, là où les rêves se heurtent à la réalité et où les failles peuvent aussi devenir des forces. C&#39est un parcours sur le fil de l&#39existence, où chaque fragilité devient une corde à apprivoiser, surtout lorsque ""grandir"" rime avec ""tomber"". Mais si l&#39on souffre parfois jusqu&#39à en perdre l&#39équilibre, si l&#39on aime souvent jusqu&#39à s&#39en brûler les ailes, la parole, elle, demeure debout. Oser faire entendre sa voix, c&#39est accepter de devenir funambule et défier le vertige.",978-2290419106,https://m.media-amazon.com/images/I/61s3+kNx5eL._SY522_.jpg,J&#39AI LU (5 mars 2025),Poesie
La symphonie des silences,10.15,"Ce recueil est un recueil de lettres fictives sur le deuil, sur ses étapes et sur la manière d&#39aborder l&#39absence. Alors bienvenue dans ce voyage d&#39une année, de novembre à novembre. Tu y laisseras quelques larmes, quelques sourires et j&#39espère qu&#39à la fin il ne te restera que l&#39espoir.",978-2810623679,https://m.media-amazon.com/images/I/71PRbWOe48L._SY522_.jpg,BOOKS ON DEMAND (7 février 2025),Poesie
Les Fragments du coeur,14.09,,978-2226493859,https://m.media-amazon.com/images/I/71ouMU2dzeL._SY522_.jpg,Albin Michel; Illustrated édition (30 octobre 2024),Poesie
Le jour où j&#39ai appris à vivre,19.21,,978-2266258739,https://m.media-amazon.com/images/I/61xAhN80RaL._SY522_.jpg,Pocket (7 avril 2016),Poesie
